"code","source","value","note","unit","sector","owner","nuts_level","code_label","measure_type_eustat_flag","potential_definition"
"DE11D","livestock.effluents",0.313052806250561,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE121","livestock.effluents",0.0143162395524734,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE122","livestock.effluents",0.0176907817326992,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE123","livestock.effluents",0.110950856531669,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE124","livestock.effluents",0.0755692930662701,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE125","livestock.effluents",0.01114621508014,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE126","livestock.effluents",0.0148275338222046,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE127","livestock.effluents",0.115143469543464,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE128","livestock.effluents",0.108598902890905,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE129","livestock.effluents",0.0100213676867314,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE12A","livestock.effluents",0.081500306595152,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE12B","livestock.effluents",0.0586965821651408,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE12C","livestock.effluents",0.0890674617871736,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE131","livestock.effluents",0.0313813766788284,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE132","livestock.effluents",0.282637497146572,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE133","livestock.effluents",0.139472785239237,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE134","livestock.effluents",0.381909303110971,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE135","livestock.effluents",0.157727311542608,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE136","livestock.effluents",0.210234713044439,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE137","livestock.effluents",0.15054856524353,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE138","livestock.effluents",0.167777556361318,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE139","livestock.effluents",0.165521378953036,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE13A","livestock.effluents",0.23197605897879,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE141","livestock.effluents",0.276500874697478,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
"DE142","livestock.effluents",0.131293644984439,"Biomass from livestock effluents. We don't account for energy conversion","PetaJoule","livestock effluents","EURAC",3,"","e","planning"
